,시가,고가,저가,종가,등락률,기관,프로그램
565,47250.0,47250.0,46300.0,46450.0,-2.21,920407.0,300243.0
566,46950.0,47500.0,46450.0,47500.0,0.21,-1257388.0,-638748.0
567,46550.0,47550.0,46550.0,47400.0,0.32,25911.0,-1073674.0
568,46850.0,47600.0,46400.0,47250.0,2.38,-310031.0,667402.0
569,46000.0,46200.0,45700.0,46150.0,1.43,-382583.0,45347.0
570,44950.0,45900.0,44700.0,45500.0,0.78,-152329.0,434636.0
571,45550.0,45800.0,44900.0,45150.0,-1.53,-1901413.0,-1532463.0
572,45000.0,45850.0,44900.0,45850.0,4.09,576335.0,1956668.0
573,44550.0,44750.0,44000.0,44050.0,-1.12,2873555.0,-660018.0
574,44900.0,45100.0,44500.0,44550.0,-1.11,1280568.0,-1385753.0
575,45550.0,45900.0,45050.0,45050.0,-0.99,-187125.0,-735188.0
576,45450.0,45550.0,45000.0,45500.0,1.34,-1461569.0,404956.0
577,44500.0,45200.0,44400.0,44900.0,-2.6,1883941.0,-2424775.0
578,46200.0,46400.0,45800.0,46100.0,-1.07,259891.0,-510198.0
579,47300.0,47450.0,46400.0,46600.0,-2.2,-1188043.0,335305.0
580,47550.0,47800.0,47200.0,47650.0,0.42,-491897.0,387603.0
581,48200.0,48300.0,47300.0,47450.0,-2.06,591037.0,16711.0
582,47100.0,48450.0,47000.0,48450.0,1.68,-247271.0,5597.0
583,46950.0,47950.0,46700.0,47650.0,1.82,-1490979.0,1102806.0
584,46750.0,46800.0,46400.0,46800.0,0.54,-239143.0,1114787.0
585,46800.0,46950.0,46300.0,46550.0,0.54,-303513.0,1267470.0
586,46100.0,46550.0,46000.0,46300.0,0.33,-430297.0,742698.0
587,45900.0,46400.0,45550.0,46150.0,-0.11,-378222.0,1034062.0
588,46150.0,46200.0,45700.0,46200.0,0.22,-480485.0,415699.0
589,45150.0,46200.0,44900.0,46100.0,2.9,-1506140.0,1214069.0
590,43700.0,44900.0,43700.0,44800.0,2.17,656100.0,605499.0
591,43500.0,44200.0,43500.0,43850.0,-0.57,215106.0,147890.0
592,44050.0,44400.0,44050.0,44100.0,-0.34,-1510599.0,-223664.0
593,43800.0,44650.0,43700.0,44250.0,-1.99,180682.0,-740747.0
594,44850.0,45400.0,44850.0,45150.0,0.22,265249.0,157883.0
595,44950.0,45100.0,44650.0,45050.0,-0.77,368891.0,1688248.0
596,46150.0,46400.0,44850.0,45400.0,-3.2,-4204792.0,-866743.0
597,47000.0,47050.0,46450.0,46900.0,0.21,2295371.0,1506947.0
598,47000.0,47000.0,46550.0,46800.0,0.21,-909721.0,1300832.0
599,46300.0,46750.0,45900.0,46700.0,1.97,-1043219.0,2393242.0
600,46150.0,46150.0,45750.0,45800.0,0.11,-781180.0,1568507.0
601,45850.0,45900.0,45450.0,45750.0,0.44,-954176.0,797745.0
602,46550.0,46800.0,45500.0,45550.0,-2.15,-2068770.0,-869784.0
603,46050.0,46850.0,46050.0,46550.0,0.65,-548766.0,1381659.0
604,46200.0,46450.0,46000.0,46250.0,-0.54,393799.0,-67092.0
605,46550.0,46800.0,46350.0,46500.0,-0.85,-979604.0,645995.0
606,46450.0,47000.0,46450.0,46900.0,0.0,570916.0,587548.0
607,46100.0,47000.0,46000.0,46900.0,1.63,305422.0,918306.0
608,46250.0,46550.0,45900.0,46150.0,0.0,1527920.0,504340.0
609,46350.0,46600.0,45950.0,46150.0,-0.75,1228055.0,-247137.0
610,47100.0,47200.0,46150.0,46500.0,-2.0,1377689.0,-484301.0
611,47000.0,47600.0,46700.0,47450.0,1.17,1060173.0,-234294.0
612,47050.0,47200.0,46600.0,46900.0,0.75,821452.0,-817617.0
613,46700.0,47200.0,46450.0,46550.0,1.53,-634474.0,2278981.0
614,46150.0,46200.0,45600.0,45850.0,-0.43,467924.0,-246026.0
615,46800.0,46800.0,46000.0,46050.0,-0.97,-612802.0,533107.0
616,45800.0,46500.0,45750.0,46500.0,2.2,501088.0,477441.0
617,45900.0,46250.0,45450.0,45500.0,-1.09,-455559.0,-135946.0
618,46400.0,46450.0,45400.0,46000.0,-0.65,-1072892.0,-1603647.0
619,46200.0,46550.0,46100.0,46300.0,1.54,-566603.0,-136123.0
620,45500.0,46100.0,45200.0,45600.0,1.56,1297075.0,-306314.0
621,45500.0,45850.0,44650.0,44900.0,-2.29,-247459.0,-2641430.0
622,46100.0,46550.0,45600.0,45950.0,-0.65,541984.0,-646880.0
623,46700.0,47050.0,46050.0,46250.0,0.22,-100029.0,-1422367.0
624,45750.0,46450.0,45750.0,46150.0,1.32,-47120.0,-993654.0
625,46500.0,47150.0,45500.0,45550.0,-2.36,-386802.0,-2503535.0
626,46250.0,47150.0,46200.0,46650.0,-0.32,-1372038.0,-1494735.0
